Brand Name ,Smartphone Name,Phone Color,Storage(RAM | ROM),Phone Dispaly,Phone Camera,Phone Battery,Phone Price,URL
Google,Pixel 7,Color,8 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) HD Display,50MP + 12MP | 10.8MP Front Camera,4270 mAh Battery,"₹46,999",https://www.flipkart.com/google-pixel-7-snow-128-gb/p/itm45d75002be0e7?pid=MOBGHW44PRZ8WP2M&lid=LSTMOBGHW44PRZ8WP2MLRJNPZ&marketplace=FLIPKART&q=pixel&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=62590978-f133-4b6d-b799-caff92e0fd32.MOBGHW44PRZ8WP2M.SEARCH&ppt=hp&ppn=homepage&ssid=65m2ol11u80000001708110178774&qH=ab4086ecd47c568d
Google,Pixel 8 Pro,Color,12 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) HD Display,50MP + 48MP + 48MP | 10.5MP Front Camera,5050 mAh Battery,"₹1,06,999",https://www.flipkart.com/google-pixel-8-pro-obsidian-128-gb/p/itm51f9522df8e95?pid=MOBGT5F2S5RHTV6A&lid=LSTMOBGT5F2S5RHTV6AAFYXXO&marketplace=FLIPKART&q=pixel&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=62590978-f133-4b6d-b799-caff92e0fd32.MOBGT5F2S5RHTV6A.SEARCH&ppt=hp&ppn=homepage&ssid=65m2ol11u80000001708110178774&qH=ab4086ecd47c568d
Google,Pixel 8 Pro,Color,12 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) HD Display,50MP + 48MP + 48MP | 10.5MP Front Camera,5050 mAh Battery,"₹1,06,999",https://www.flipkart.com/google-pixel-8-pro-bay-128-gb/p/itm51f9522df8e95?pid=MOBGT5F2YUW93AB3&lid=LSTMOBGT5F2YUW93AB3QQXNVI&marketplace=FLIPKART&q=pixel&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=62590978-f133-4b6d-b799-caff92e0fd32.MOBGT5F2YUW93AB3.SEARCH&ppt=hp&ppn=homepage&ssid=65m2ol11u80000001708110178774&qH=ab4086ecd47c568d
Google,Pixel 7 Pro,Color,12 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) HD Display,50MP + 48MP + 12MP | 10.8MP Front Camera,4926 mAh Battery,"₹66,999",https://www.flipkart.com/google-pixel-7-pro-snow-128-gb/p/itmb74dc5c3b3eb5?pid=MOBGHW44HHEMNGHW&lid=LSTMOBGHW44HHEMNGHWSCSMWJ&marketplace=FLIPKART&q=pixel&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=62590978-f133-4b6d-b799-caff92e0fd32.MOBGHW44HHEMNGHW.SEARCH&ppt=hp&ppn=homepage&ssid=65m2ol11u80000001708110178774&qH=ab4086ecd47c568d
Google,Pixel 8 Pro,Color,12 GB RAM | 256 GB ROM,17.12 cm (6.74 inch) HD Display,50MP + 48MP + 48MP | 10.5MP Front Camera,5050 mAh Battery,"₹1,13,999",https://www.flipkart.com/google-pixel-8-pro-obsidian-256-gb/p/itm51f9522df8e95?pid=MOBGUQB4VWAFZWYT&lid=LSTMOBGUQB4VWAFZWYTDRYYFB&marketplace=FLIPKART&q=pixel&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=62590978-f133-4b6d-b799-caff92e0fd32.MOBGUQB4VWAFZWYT.SEARCH&ppt=hp&ppn=homepage&ssid=65m2ol11u80000001708110178774&qH=ab4086ecd47c568d
Google,Pixel 8,Color,8 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) HD Display,50MP + 12MP | 10.5MP Front Camera,4575 mAh Battery,"₹75,999",https://www.flipkart.com/google-pixel-8-mint-128-gb/p/itm67e2a2531aaac?pid=MOBGW6NGMC7FNGMC&lid=LSTMOBGW6NGMC7FNGMCZEJQWC&marketplace=FLIPKART&q=pixel&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=62590978-f133-4b6d-b799-caff92e0fd32.MOBGW6NGMC7FNGMC.SEARCH&ppt=hp&ppn=homepage&ssid=65m2ol11u80000001708110178774&qH=ab4086ecd47c568d
Google,Pixel 7 Pro,Color,12 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) HD Display,50MP + 48MP + 12MP | 10.8MP Front Camera,4926 mAh Battery,"₹66,999",https://www.flipkart.com/google-pixel-7-pro-obsidian-128-gb/p/itmb74dc5c3b3eb5?pid=MOBGHW44NRFHVRZY&lid=LSTMOBGHW44NRFHVRZYZBL0DS&marketplace=FLIPKART&q=pixel&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=62590978-f133-4b6d-b799-caff92e0fd32.MOBGHW44NRFHVRZY.SEARCH&ppt=hp&ppn=homepage&ssid=65m2ol11u80000001708110178774&qH=ab4086ecd47c568d
Google,Pixel 7 Pro,Color,12 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) HD Display,50MP + 48MP + 12MP | 10.8MP Front Camera,4926 mAh Battery,"₹66,999",https://www.flipkart.com/google-pixel-7-pro-hazel-128-gb/p/itmb74dc5c3b3eb5?pid=MOBGHW44Z6UPBQ9K&lid=LSTMOBGHW44Z6UPBQ9K6DNRGK&marketplace=FLIPKART&q=pixel&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=62590978-f133-4b6d-b799-caff92e0fd32.MOBGHW44Z6UPBQ9K.SEARCH&ppt=hp&ppn=homepage&ssid=65m2ol11u80000001708110178774&qH=ab4086ecd47c568d
Google,Pixel 6a,Color,6 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) HD Display,12.2MP + 12MP | 8MP Front Camera,4410 mAh Battery,"₹43,999",https://www.flipkart.com/google-pixel-6a-charcoal-128-gb/p/itme5ae89135d44e?pid=MOBGFKX5YUXD74Z3&lid=LSTMOBGFKX5YUXD74Z3MXA2OB&marketplace=FLIPKART&q=pixel&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=62590978-f133-4b6d-b799-caff92e0fd32.MOBGFKX5YUXD74Z3.SEARCH&ppt=hp&ppn=homepage&ssid=65m2ol11u80000001708110178774&qH=ab4086ecd47c568d
Google,Pixel 6a,Color,6 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) HD Display,12.2MP + 12MP | 8MP Front Camera,4410 mAh Battery,"₹43,999",https://www.flipkart.com/google-pixel-6a-chalk-128-gb/p/itme5ae89135d44e?pid=MOBGFWEZ5SKU84Z8&lid=LSTMOBGFWEZ5SKU84Z8FXPB45&marketplace=FLIPKART&q=pixel&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=62590978-f133-4b6d-b799-caff92e0fd32.MOBGFWEZ5SKU84Z8.SEARCH&ppt=hp&ppn=homepage&ssid=65m2ol11u80000001708110178774&qH=ab4086ecd47c568d
Google,Pixel 3 XL,Color,4 GB RAM | 64 GB ROM,17.12 cm (6.74 inch) HD Display,12.2MP Rear Camera,3430 mAh Battery,"₹22,500",https://www.flipkart.com/google-pixel-3-xl-not-pink-64-gb/p/itmc09242e6f61de?pid=MOBGSSHZ5AXT7AFH&lid=LSTMOBGSSHZ5AXT7AFHV7NJG2&marketplace=FLIPKART&q=pixel&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=62590978-f133-4b6d-b799-caff92e0fd32.MOBGSSHZ5AXT7AFH.SEARCH&ppt=hp&ppn=homepage&ssid=65m2ol11u80000001708110178774&qH=ab4086ecd47c568d
Google,Pixel 3,Color,4 GB RAM | 64 GB ROM,17.12 cm (6.74 inch) HD Display,12.2MP Rear Camera,2915 mAh Battery,"₹21,500",https://www.flipkart.com/google-pixel-3-pink-64-gb/p/itmfbuyqxkruzg7j?pid=MOBGTDM5VAY9ZQWN&lid=LSTMOBGTDM5VAY9ZQWN8FZLJK&marketplace=FLIPKART&q=pixel&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=62590978-f133-4b6d-b799-caff92e0fd32.MOBGTDM5VAY9ZQWN.SEARCH&ppt=hp&ppn=homepage&ssid=65m2ol11u80000001708110178774&qH=ab4086ecd47c568d
realme,C53,Color,6 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD Display,108MP + 2MP | 8MP Front Camera,5000 mAh Battery,"₹8,999",https://www.flipkart.com/realme-c53-champion-gold-64-gb/p/itm5df90168ecd05?pid=MOBGQY939DG9GBQ8&lid=LSTMOBGQY939DG9GBQ8AQQV4I&marketplace=FLIPKART&q=pixel&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=62590978-f133-4b6d-b799-caff92e0fd32.MOBGQY939DG9GBQ8.SEARCH&ppt=hp&ppn=homepage&ssid=65m2ol11u80000001708110178774&qH=ab4086ecd47c568d
Motorola,Edge 40,Color,8 GB RAM | 256 GB ROM,17.12 cm (6.74 inch) HD Display,50MP + 13MP | 32MP Front Camera,4400 mAh Battery,"₹26,999",https://www.flipkart.com/motorola-edge-40-nebula-green-256-gb/p/itmaa0bf9c327a2b?pid=MOBGKHNBTVZZU8PH&lid=LSTMOBGKHNBTVZZU8PHORDDSI&marketplace=FLIPKART&q=pixel&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=62590978-f133-4b6d-b799-caff92e0fd32.MOBGKHNBTVZZU8PH.SEARCH&ppt=hp&ppn=homepage&ssid=65m2ol11u80000001708110178774&qH=ab4086ecd47c568d
